H,split,part,n,n0,n1,n2,n3,n4,pct0,pct1,pct2,pct3,pct4
1,random,train,6232,4624,408,435,503,262,74.2,6.55,6.98,8.07,4.2
1,random,test,1559,1153,98,116,121,71,73.96,6.29,7.44,7.76,4.55
1,temporal,train,4786,3687,289,327,326,157,77.04,6.04,6.83,6.81,3.28
1,temporal,test,3004,2090,217,224,297,176,69.57,7.22,7.46,9.89,5.86
1,spatial,train,4062,2970,303,343,333,113,73.12,7.46,8.44,8.2,2.78
1,spatial,test,3279,2473,186,173,254,193,75.42,5.67,5.28,7.75,5.89
3,random,train,3811,2634,305,324,359,189,69.12,8,8.5,9.42,4.96
3,random,test,954,650,85,81,93,45,68.13,8.91,8.49,9.75,4.72
3,temporal,train,2810,2023,226,238,226,97,71.99,8.04,8.47,8.04,3.45
3,temporal,test,1952,1259,164,167,225,137,64.5,8.4,8.56,11.53,7.02
3,spatial,train,2335,1529,223,269,220,94,65.48,9.55,11.52,9.42,4.03
3,spatial,test,2228,1604,161,121,212,130,71.99,7.23,5.43,9.52,5.83
5,random,train,4920,3597,340,336,410,237,73.11,6.91,6.83,8.33,4.82
5,random,test,1231,886,93,90,104,58,71.97,7.55,7.31,8.45,4.71
5,temporal,train,3462,2617,220,252,250,123,75.59,6.35,7.28,7.22,3.55
5,temporal,test,2677,1859,212,172,262,172,69.44,7.92,6.43,9.79,6.43
5,spatial,train,3409,2514,264,254,265,112,73.75,7.74,7.45,7.77,3.29
5,spatial,test,2399,1717,147,149,223,163,71.57,6.13,6.21,9.3,6.79
7,random,train,19000,15310,1005,1081,1124,480,80.58,5.29,5.69,5.92,2.53
7,random,test,4751,3830,249,271,263,138,80.61,5.24,5.7,5.54,2.9
7,temporal,train,14848,12565,636,725,674,248,84.62,4.28,4.88,4.54,1.67
7,temporal,test,8880,6565,614,626,706,369,73.93,6.91,7.05,7.95,4.16
7,spatial,train,15216,12401,830,909,814,262,81.5,5.45,5.97,5.35,1.72
7,spatial,test,6576,5161,336,333,462,284,78.48,5.11,5.06,7.03,4.32
14,random,train,19110,15605,966,1035,1023,481,81.66,5.05,5.42,5.35,2.52
14,random,test,4779,3930,222,250,244,133,82.23,4.65,5.23,5.11,2.78
14,temporal,train,14819,12695,611,659,613,241,85.67,4.12,4.45,4.14,1.63
14,temporal,test,9021,6820,572,619,639,371,75.6,6.34,6.86,7.08,4.11
14,spatial,train,15557,12949,765,855,726,262,83.24,4.92,5.5,4.67,1.68
14,spatial,test,6388,5018,330,314,436,290,78.55,5.17,4.92,6.83,4.54
