line,horizon,train_rows,train_pos,test_rows,test_pos,test_base_rate,test_blocks,pos_blocks,embargo_rows
2016,1,34337,2275,21535,1972,0.0915718597631762,70,42,3
2016,3,34043,2242,21404,1970,0.0920388712390207,71,42,4
2016,5,34169,2257,21380,1929,0.0902245088868101,71,42,38
2016,7,34306,2273,21323,1923,0.0901843080241992,71,42,67
2016,14,34370,2276,21351,1944,0.0910495995503724,69,39,143
2019,1,46905,3742,8967,505,0.0563176090108174,33,15,0
2019,3,46592,3714,8855,498,0.0562394127611519,34,15,51
2019,5,46676,3702,8873,484,0.0545475036627973,34,15,50
2019,7,46793,3710,8836,486,0.0550022634676324,34,15,67
2019,14,46931,3724,8790,496,0.0564277588168373,33,15,174
