yr,N_old,N_new,diff
1953,16,16,0
1954,825,825,0
1955,2783,2783,0
1956,2922,2923,1
1957,3996,3996,0
1958,1809,1809,0
1959,1745,1745,0
1960,1373,1373,0
1961,842,842,0
1962,320,320,0
1963,480,480,0
1964,892,921,29
1965,37,52,15
1966,349,349,0
1967,412,412,0
1968,119,119,0
1969,16,16,0
1970,1,1,0
1971,477,477,0
1972,46,46,0
1973,114,114,0
1974,1740,1740,0
1975,421,421,0
1976,918,918,0
1977,511,511,0
1978,780,780,0
1979,614,614,0
1980,821,843,22
1981,159,159,0
1982,680,680,0
1983,183,183,0
1984,222,222,0
1985,138,138,0
1986,275,276,1
1987,1118,1118,0
1988,780,780,0
1989,734,734,0
1990,746,746,0
1991,1102,1119,17
1992,1096,1096,0
1993,687,687,0
1994,1210,1210,0
1995,2567,2567,0
1996,2550,2550,0
1997,1688,1688,0
1998,1686,1686,0
1999,3103,3103,0
2000,3709,3711,2
2001,3336,3336,0
2002,2908,2908,0
2003,3447,3447,0
2004,2176,2176,0
2005,4384,4384,0
2006,6353,6372,19
2007,6296,6296,0
2008,5284,5285,1
2009,5682,5683,1
2010,5217,5218,1
2011,5782,5782,0
2012,6292,6294,2
2013,6836,6834,-2
2014,6848,6850,2
2015,6148,6168,20
2016,7684,7698,14
2017,8164,8190,26
2018,9568,9628,60
2019,8743,8933,190
2020,5128,6767,1639
2021,3783,5084,1301
